"","prog","source","bre_code","country","yy","mm","dd","bre_site","cluster","notes","X1","Y1","dup","bio1_current","bio7_current","bio12_current","bio15_current","bio1_LIG","bio7_LIG","bio12_LIG","bio15_LIG","bio1_LGM","bio7_LGM","bio12_LGM","bio15_LGM","bio1_MH","bio7_MH","bio12_MH","bio15_MH","bio1_gfdlesm4_370","bio7_gfdlesm4_370","bio12_gfdlesm4_370","bio15_gfdlesm4_370","bio1_gfdlesm4_585","bio7_gfdlesm4_585","bio12_gfdlesm4_585","bio15_gfdlesm4_585","bio1_ukesm1_370","bio7_ukesm1_370","bio12_ukesm1_370","bio15_ukesm1_370","bio1_ukesm1_585","bio7_ukesm1_585","bio12_ukesm1_585","bio15_ukesm1_585"
"194",2211,"RU-BIRDS.RU",NA,"Russia",2014,5,20,0,"e",NA,91.82263094,51.28055363,4478819,-30.768666267395,565.975997924805,330,78.7835388183594,-37.0134765625,726.4576171875,271.1041015625,81.60625,-89.8,566.2,240.2,63.6,-41.6,591.6,340.6,66.4,26.48246717453,453.89200592041,375.927850341797,86.4770538330078,29.6906728744507,451.935722351074,377.220593261719,86.3292037963867,45.3087339401245,473.223648071289,364.468560791016,83.5257125854492,54.4617118835449,479.094314575195,362.857562255859,83.2699081420898
"195",2213,"RU-BIRDS.RU",NA,"Kazakhstan",2016,5,19,0,"e",NA,79.2093374,43.17939459,5483437,59.9620842933655,394.250001907349,556.75,40.3471441268921,29.534912109375,600.61376953125,407.6962890625,61.550048828125,-1.5,410.25,336,38.25,40.75,454.75,457.5,49,53.6334562301636,425.357723236084,497.952217102051,40.862681388855,56.7364192008972,415.324850082397,520.385665893555,45.1533708572388,72.0453822612762,402.82693862915,523.707176208496,37.8212337493896,77.3046052455902,420,532.02294921875,38.3897819519043
"196",2214,"RU-BIRDS.RU",NA,"Russia",2020,5,18,0,"e",NA,106.2572875,50.96678778,4515426,-1.66799956560135,538.176002502441,356.8,97.6882995605469,-1.57578125,661.893359375,342.0275390625,91.301953125,-69.8,545.6,261.8,84.2,-8.6,551.6,381.6,91.2,39.9458422660828,515.876510620117,269.917196655273,102.196917724609,40,512.84383392334,281.34658203125,104.810412597656,59.9268379211426,535.675086975098,271.104132080078,98.9452529907227,70,535.207893371582,272.186926269531,98.9528961181641
"197",2215,"RU-BIRDS.RU",NA,"Russia",2017,5,18,0,"e",NA,107.0921035,51.11692486,4499906,-8.45166683197021,557.453320821126,303.333333333333,106.387607574463,-11.2578125,672.356608072917,286.549967447917,99.61572265625,-80.3333333333333,564.5,218.666666666667,94.8333333333333,-18.1666666666667,569.666666666667,328,97.6666666666667,32.8533732891083,519.708773295085,263.341356913249,109.80952835083,34.1144279638926,517.064100901286,276.428960164388,113.369682312012,51.7825134595235,543.300603230794,262.859321594238,105.412698109945,63.7098073959351,542.553215026855,264.333053588867,105.381004333496
"198",2216,"RU-BIRDS.RU",NA,"Russia",2014,5,15,0,"e",NA,86.16896349,50.75335141,4540844,-2.37833315506577,457.193323771159,440.5,75.038646697998,-5.6494140625,592.36474609375,359.768391927083,79.9026692708333,-56.1666666666667,450.833333333333,344,73.5,-2.83333333333333,478,404,66.1666666666667,33.5346825917562,405.288219451904,457.764266967773,73.6867485046387,36.2011345227559,395.13500213623,467.433893839518,76.2011858622233,52.370495001475,427.666123708089,454.863779703776,70.735600789388,61.1321870485942,439.08987681071,446.265289306641,69.0041109720866
"199",2217,"RU-BIRDS.RU",NA,"Kazakhstan",2014,5,15,0,"e",NA,68.73997372,48.30887435,4846045,40.1189999580383,513.71199798584,192.2,17.949390411377,19.9017578125,712.57578125,170.692578125,41.0005859375,-29,581,132.8,25.4,24.8,554.2,216.6,18.4,80,464.564292907715,223.700140380859,31.774817276001,87.4929752349854,441.413551330566,228.397399902344,31.7281227111816,100,422.225471496582,228.176556396484,29.5969818115234,110,437.522804260254,235.242572021484,27.7001712799072
"200",2219,"RU-BIRDS.RU",NA,"Kazakhstan",2020,6,4,0,"e",NA,73.32713944,51.58645076,4436935,27.3711109161377,461.806666056315,307.166666666667,37.5181306203206,5.91129557291667,645.0830078125,258.4912109375,57.1905924479167,-51,551.166666666667,190,33.3333333333333,10.3333333333333,520.166666666667,309.833333333333,38.1666666666667,60,434.248275756836,373.595397949219,47.3453591664632,69.444678624471,406.251627604167,382.681330362956,42.6256281534831,80,426.251627604167,385.771458943685,43.0145893096924,90,433.918635050456,388.391810099284,42.0458799997965
"201",2220,"RU-BIRDS.RU",NA,"Kazakhstan",2018,6,9,0,"e",NA,59.31253034,47.48180797,4949419,66.4266653060913,505.984001159668,179.4,19.0637897491455,50.9708984375,624.0490234375,179.0494140625,30.3404296875,-14,632.2,125.2,41.2,54,552.4,185.8,25,107.110834121704,442.590980529785,190.839920043945,28.3165901184082,110,450.78263092041,203.970373535156,31.0972610473633,120,410.883697509766,201.213647460937,26.0452068328857,130,439.863548278809,208.71559753418,24.8278160095215
"202",2221,"RU-BIRDS.RU",NA,"Kazakhstan",2020,6,23,0,"e",NA,78.75180029,44.24200167,5353926,75.1808321475983,411.430006027222,430.75,31.7004928588867,37.04443359375,643.193115234375,384.8564453125,48.04541015625,7,422.75,336.5,29.75,50.25,467,425.75,30.75,103.503048419952,363.882913589478,483.416015625,41.6395692825317,107.84515619278,355.60525894165,498.339561462402,44.7023735046387,122.675259113312,336.65961265564,524.038757324219,38.9691715240479,129.275665283203,354.528436660767,524.140403747559,38.5060014724731
"203",2222,"RU-BIRDS.RU",NA,"Kazakhstan",2020,6,30,0,"e",NA,79.56027899,44.20731163,5359125,89.9877770741781,421.413332621257,312,31.4181400934855,54.7931315104167,633.671061197917,304.690592447917,55.1826171875,23.1666666666667,427,277.666666666667,26.5,66.8333333333333,473.333333333333,338.666666666667,33.6666666666667,118.310699462891,396.798445383708,307.342910766602,45.2273451487223,121.716615358988,386.088072458903,319.768407185872,48.5687465667725,136.949055989583,373.359228769938,331.349553426107,42.1957340240479,142.463464736938,388.198420206706,329.232182820638,41.0641339619954
"204",2223,"RU-BIRDS.RU",NA,"Kazakhstan",2014,6,26,0,"e",NA,78.80193293,43.0327999,5504147,54.7370004653931,385.487998962402,628,40.455152130127,26.713671875,604.10390625,421.4193359375,58.96015625,-2.4,407.4,341.4,38.6,39.8,450.2,472,50,50.1543741226196,408.156509399414,515.9884765625,45.3414703369141,53.0702753067017,398.412712097168,536.899768066406,49.6850601196289,68.4438333511353,385.375663757324,539.957653808594,42.8093566894531,73.3756132125854,402.853538513184,549.757800292969,43.0872619628906
"205",2227,"RU-BIRDS.RU",NA,"Kazakhstan",2014,6,26,0,"e",NA,78.9406997,43.12804221,5488610,56.2669440110525,394.813334147135,594.666666666667,41.8951511383057,28.3748372395833,604.18408203125,413.408854166667,59.7483723958333,-2.66666666666667,408.833333333333,339.333333333333,38.5,39.6666666666667,453,464.166666666667,48.8333333333333,50.100138982137,424.383920033773,500.130401611328,44.861780166626,52.3640366395315,415.644003550212,521.979044596354,49.1769377390544,68.787743250529,402.105147043864,524.122675577799,42.1945692698161,73.2659594217936,419.547017415365,533.11919148763,42.6084715525309
"206",2230,"RU-BIRDS.RU",NA,"Russia",2020,6,18,0,"e",NA,87.70008247,50.23688508,4608220,-32.7140007019043,462.479995727539,322.6,74.7795318603516,-27.2509765625,600.7359375,245.27109375,86.2740234375,-79.6,442,251.4,71.6,-26.6,479.4,297.2,64.8,-12.9542697668076,413.237770080566,414.971398925781,69.5469345092773,-9.80817270278931,408.290519714355,418.313238525391,72.3211303710937,5.42097970843315,439.116752624512,418.846136474609,65.6795379638672,14.0438933372498,449.645690917969,410.654156494141,63.6433921813965
"207",2237,"RU-BIRDS.RU",NA,"Russia",2019,6,18,0,"e",NA,85.57169342,50.24562414,4608169,-2.69749996562799,473.953329722087,469,65.1096789042155,-2.04964192708333,589.23486328125,393.409505208333,70.2062174479167,-52,447.666666666667,368.833333333333,63.6666666666667,1.5,478.333333333333,427.833333333333,55.1666666666667,42.5557331244151,386.180159250895,436.768854777018,53.6911919911702,45.13325770696,370.893185933431,440.194330851237,54.6990699768066,63.7881811459859,409.998683929443,436.077784220378,48.199603398641,73.7384756406148,421.06149037679,424.78603108724,46.7756334940592
"208",2239,"RU-BIRDS.RU",NA,"Russia",2019,6,26,0,"e",NA,106.1560822,50.96427503,4515423,-1.78611089785894,530.073337554932,373.333333333333,97.143133799235,-3.87353515625,659.835611979167,363.480305989583,90.3401692708333,-72,543.166666666667,277.166666666667,84.5,-10.6666666666667,548.666666666667,404.5,90.3333333333333,37.9578904310862,509.272829691569,304.659851074219,100.794064839681,38.6664076646169,506.79786046346,317.667729695638,103.431096394857,57.5975489616394,528.570925394694,306.328323364258,97.2974599202474,68.5125533739726,527.869758605957,307.469650268555,97.2991841634115
"209",2240,"RU-BIRDS.RU",NA,"Russia",2019,6,26,0,"e",NA,106.1118985,50.94058238,4520602,-2.26933348178864,525.352005004883,382,96.8641036987305,-5.6423828125,658.7333984375,374.94296875,90.108984375,-74.2,541.8,286,84.4,-12.6,547.2,416.8,90.2,35.4995083808899,506.098968505859,323.030798339844,100.285101318359,36.4872512817383,503.190292358398,336.749847412109,102.952238464355,55.0320520401001,525.243133544922,324.988708496094,96.7415588378906,66.2823038101196,524.22087097168,326.182373046875,96.7735778808594
"210",2241,"RU-BIRDS.RU",NA,"Kazakhstan",2016,6,24,0,"e",NA,82.18049727,45.67437991,5172708,80.2688876787821,492.839997609456,205.333333333333,41.0675067901611,53.0616861979167,696.535319010417,207.599772135417,46.6912434895833,15.3333333333333,500.666666666667,167,31,60.5,537.166666666667,231.833333333333,29.5,114.08300558726,398.58455657959,177.917198181152,30.1581252415975,118.117787043254,388.617655436198,181.361595153809,31.7633860905965,123.190625508626,401.142717997233,185.286618550618,26.7726052602132,126.57266775767,418.061122894287,185.784797668457,25.286153793335
"211",2242,"RU-BIRDS.RU",NA,"Kazakhstan",2018,6,4,0,"e",NA,85.65376424,49.18649155,4737671,14.7673332989216,414.767997741699,457.4,52.908073425293,-0.5302734375,611.034765625,364.5970703125,63.5001953125,-50.6,456.6,328.6,55.4,1.4,493,395.4,46.4,35.5847196578979,369.023078918457,549.714123535156,41.5558296203613,39.0797801017761,360.059646606445,547.914880371094,41.0346069335938,53.8938512802124,393.964149475098,546.071765136719,34.9402954101563,62.842041015625,405.446556091309,534.497760009766,34.6158737182617
"212",2243,"RU-BIRDS.RU",NA,"Kazakhstan",2015,6,17,0,"e",NA,84.13618166,48.06214277,4877495,43.4813318252563,484.231986999512,291,35.2393669128418,30.7263671875,692.1447265625,262.6513671875,43.2228515625,-15.8,520.8,213.2,30,35.6,544.4,286.4,31.4,90,431.472648620605,216.582965087891,31.7241836547852,98.6794357299805,420.402076721191,217.952691650391,30.0154418945312,100,447.892578125,221.937579345703,25.9635921478271,110,458.875015258789,216.453955078125,23.1234588623047
"213",2244,"RU-BIRDS.RU",NA,"Kazakhstan",2018,6,20,0,"e",NA,71.23222973,42.91700941,5514325,111.420000394185,425.579999287923,317,48.7038466135661,79.9392903645833,625.49755859375,314.486002604167,47.3553059895833,56.1666666666667,423.666666666667,253.5,44,98,459.833333333333,346,46.5,129.887062708537,432.840919494629,363.711619059245,42.4223187764486,130.012793540955,424.050223032633,379.706298828125,43.0230611165365,149.811876614889,391.165218353271,410.838689168294,44.2575956980387,154.510846138,397.7521387736,407.284378051758,42.8527514139811
"214",2245,"RU-BIRDS.RU",NA,"Russia",2018,6,19,0,"e",NA,94.73590105,50.24798977,4608389,-28.9844445387522,612.559986114502,231,82.937816619873,-40.3889973958333,781.67236328125,209.745279947917,101.486653645833,-100.333333333333,610.5,209.833333333333,78.3333333333333,-47.8333333333333,643.333333333333,255.166666666667,70.8333333333333,26.7861990133921,526.045010884603,292.848917643229,81.7650477091471,28.6548062165578,522.210788726807,294.210530598958,83.0127080281575,46.2574561436971,543.345508575439,288.189875284831,78.7745196024577,56.8287460009257,549.272816975911,280.910237630208,77.0973968505859
"215",2251,"Nyamba",NA,"Mongolia",NA,NA,NA,1,"e","Personal Observation B. Davaasuren",107.165183,43.031248,5504827,67.8750002384186,469.590015411377,96.25,118.160970687866,39.769775390625,623.707763671875,192.43115234375,118.22705078125,-7,496,63,94,42,508.25,124.75,113.25,95.6546068191528,484.473962783813,118.973766326904,104.457838058472,97.6195955276489,492.632331848145,109.558195114136,99.1295833587646,102.527334690094,504.423513412476,134.529537200928,110,110,509.298410415649,144.634281158447,116.332450866699
