longitude,latitude,ESU,season
92.03243,46.05731,Eastern,breeding
107.19946,43.04564,Eastern,breeding
95.05608,50.02405,Eastern,breeding
94.5234,50.229,Eastern,breeding
87.81319,50.23918,Eastern,breeding
87.95868,50.21386,Eastern,breeding
87.86121,50.2419,Eastern,breeding
87.96811,50.25334,Eastern,breeding
78.32403,45.02404,Eastern,breeding
61.04557,53.87706,Eastern,breeding
70.86833,51.02155,Eastern,breeding
94.58332,50.47495,Eastern,breeding
117.587,47.6459,Eastern,breeding
107.104,43.0218,Eastern,breeding
94.75,50.25,Eastern,breeding
94.735349,50.25524,Eastern,breeding
94.67542,50.22595,Eastern,breeding
94.515778,50.4379,Eastern,breeding
94.454067,50.283706,Eastern,breeding
88.4205,50.0732,Eastern,breeding
87.9345,50.2209,Eastern,breeding
87.5687,47.6993,Eastern,breeding
86.4106,46.8982,Eastern,breeding
85.9964,44.1157,Eastern,breeding
85.9276,44.1546,Eastern,breeding
85.5904,51.0601,Eastern,breeding
83.5599,44.5398,Eastern,breeding
83.3539,46.8357,Eastern,breeding
83.25,48.25,Eastern,breeding
82.75,48.75,Eastern,breeding
81.2733,43.892,Eastern,breeding
79.6764,46.9469,Eastern,breeding
79.006333,49.232333,Eastern,breeding
78.292875,48.532392,Eastern,breeding
76.9821,43.0784,Eastern,breeding
75.851406,44.134742,Eastern,breeding
75.0586,45.0524,Eastern,breeding
75.0215,44.9856,Eastern,breeding
61.25,48.75,Eastern,breeding
58.513932,48.418942,Eastern,breeding
58.25,48.25,Eastern,breeding
54.75,50.25,Eastern,breeding
46.922157,48.086094,Eastern,breeding
88.369679,50.014006,Eastern,breeding
78.21086,43.49155,Eastern,breeding
78.2905511,43.5067134,Eastern,breeding
78.30815456,45.04658263,Eastern,breeding
77.42635868,49.25158262,Eastern,breeding
78.25216323,43.49576181,Eastern,breeding
107.0921035,51.11692486,Eastern,breeding
73.32713944,51.58645076,Eastern,breeding
59.31253034,47.48180797,Eastern,breeding
78.80193293,43.0327999,Eastern,breeding
85.65376424,49.18649155,Eastern,breeding
94.73590105,50.24798977,Eastern,breeding
107.165183,43.031248,Eastern,breeding
91.921346,47.886805,Eastern,breeding
93.4,48.13,Eastern,breeding
95.48,46.45,Eastern,breeding
101.15,47.17,Eastern,breeding
99.27,51.01,Eastern,breeding
102.42,47.46,Eastern,breeding
104.57,47.26,Eastern,breeding
117.48,47.46,Eastern,breeding
105.3537,44.4047,Eastern,breeding
102.799536,47.184567,Eastern,breeding
91.777966,48.31232,Eastern,breeding
105.241071,47.870112,Eastern,breeding
105.57,46.12,Eastern,breeding
108.59,43.11,Eastern,breeding
102.38,42.5,Eastern,breeding
94.905777,46.795093,Eastern,breeding
108.5,41.6741,Eastern,breeding
117.99,43.66,Eastern,breeding
119.73,45.53,Eastern,breeding
109.1,41.007,Eastern,breeding
87.6019,47.3186,Eastern,breeding
93.14075,51.54248,Eastern,breeding
105.937983,50.930116,Eastern,breeding
90.60367,46.40033,Eastern,breeding
88.25,43.36,Eastern,breeding
64.27998014,49.337044,Eastern,breeding
64.13893483,49.21262476,Eastern,breeding
64.18806754,49.23501584,Eastern,breeding
64.31328378,49.3310375,Eastern,breeding
65.92486568,49.27778465,Eastern,breeding
65.74283259,49.34650748,Eastern,breeding
64.60013996,48.87179389,Eastern,breeding
64.22129979,50.76485422,Eastern,breeding
-6.15282,36.41123,Western,breeding
-6.14592,36.4179,Western,breeding
-5.36734,36.97621,Western,breeding
-5.26855,36.93406,Western,breeding
-5.18239,36.86122,Western,breeding
-5.21071,36.91385,Western,breeding
-5.59459,36.93688,Western,breeding
-4.22379,37.69289,Western,breeding
-4.32502,37.61718,Western,breeding
-4.38306,37.89667,Western,breeding
-4.49806,37.80444,Western,breeding
-4.46667,37.72584,Western,breeding
-4.89549,38.44547,Western,breeding
-4.95632,38.48476,Western,breeding
-2.63723,37.43834,Western,breeding
-3.89368,37.22541,Western,breeding
-2.41194,37.66778,Western,breeding
-2.3269,37.69691,Western,breeding
-3.806,37.08054,Western,breeding
-5.16862,36.74145,Western,breeding
-5.81217,37.32158,Western,breeding
-5.74528,37.37222,Western,breeding
-5.66988,37.45079,Western,breeding
-5.6453,37.47222,Western,breeding
-5.61889,37.03982,Western,breeding
-5.79,37.32972,Western,breeding
-5.99303,37.38597,Western,breeding
-5.69317,37.62479,Western,breeding
0.12025,41.70924,Western,breeding
0.10521,41.5562,Western,breeding
0.11141,41.604,Western,breeding
0.13363,41.55059,Western,breeding
0.17275,41.56379,Western,breeding
0.11818,41.45987,Western,breeding
-0.168,41.60657,Western,breeding
0.16542,41.51113,Western,breeding
0.24635,41.45209,Western,breeding
0.17503,41.53983,Western,breeding
-0.07316,41.4815,Western,breeding
-0.13241,41.55967,Western,breeding
-4.1727,42.30821,Western,breeding
-4.11068,42.37164,Western,breeding
-5.49209,42.14317,Western,breeding
-5.66638,40.9628,Western,breeding
-4.11697,40.94607,Western,breeding
-4.12624,40.95017,Western,breeding
-5.28639,41.95166,Western,breeding
-4.68084,41.22916,Western,breeding
-4.77523,41.38816,Western,breeding
-4.68889,41.27833,Western,breeding
-5.20391,41.55588,Western,breeding
-4.90889,41.84333,Western,breeding
-5.23722,42.05583,Western,breeding
-5.55452,41.93519,Western,breeding
-2.11331,38.90969,Western,breeding
-2.30448,38.99634,Western,breeding
-1.91101,38.5994,Western,breeding
-2.11033,38.84722,Western,breeding
-2.67236,39.18572,Western,breeding
-2.56381,39.15544,Western,breeding
-2.51735,39.28166,Western,breeding
-2.46139,39.29327,Western,breeding
-3.78872,38.95776,Western,breeding
-3.94265,38.83857,Western,breeding
-3.77695,38.70792,Western,breeding
-3.67858,38.82125,Western,breeding
-3.57965,38.82271,Western,breeding
-2.93101,39.47091,Western,breeding
-2.89635,39.69515,Western,breeding
-2.99048,39.78647,Western,breeding
