,prog,locality,source,cluster,dup,X1,Y1,bio1_current,bio7_current,bio12_current,bio15_current,bio1_LIG,bio7_LIG,bio12_LIG,bio15_LIG,bio1_LGM,bio7_LGM,bio12_LGM,bio15_LGM,bio1_MH,bio7_MH,bio12_MH,bio15_MH,bio1_gfdlesm4_370,bio7_gfdlesm4_370,bio12_gfdlesm4_370,bio15_gfdlesm4_370,bio1_gfdlesm4_585,bio7_gfdlesm4_585,bio12_gfdlesm4_585,bio15_gfdlesm4_585,bio1_ukesm1_370,bio7_ukesm1_370,bio12_ukesm1_370,bio15_ukesm1_370,bio1_ukesm1_585,bio7_ukesm1_585,bio12_ukesm1_585,bio15_ukesm1_585
1553,3720,Kenya,GBIF,e,10812654,37.457917,0.292083,205.5012512,161.3700032,1047.75,95.80814934,191.824707,253.9169922,812.4560547,125.2043457,166.75,200,862.75,98.5,188.75,188.25,1086.5,92,223.6652613,138.9191484,809.7463531,68.35245132,226.7053413,140,766.6653137,71.56298447,235.9245729,119.1504264,1097.275726,78.04832077,238.3742809,118.4183431,1175.101318,80.77743912
1554,3721,NA,GBIF,e,10823015,37.495936,0.220125,189.597497,162.5599909,1246.25,97.6654911,175.0705566,242.6230469,1058.256104,120.3920898,150.25,190.5,1084.25,101.5,172.25,179.75,1349.75,93.75,207.5720644,130.3391767,1096.410416,68.88366127,209.956851,132.2964263,1036.507217,72.10150337,218.793931,110.5317259,1469.55896,76.66752243,221.2501574,110.065906,1570.481323,79.02070045
1555,3722,NA,GBIF,e,11289233,38.212094,-3.517498,218.1727791,161.2666702,718.3333333,77.34923808,213.3968099,179.0839844,610.8990885,96.30598958,192.6666667,176,616,95.66666667,208.3333333,152.6666667,803.3333333,70.66666667,234.8786926,149.9357446,786.1647339,76.95126597,236.3928095,159.9930477,692.0459188,74.84113566,244.6623357,142.2028573,946.9800212,80.31812541,246.3928095,149.6162701,959.326884,79.9467748
1556,3723,NA,GBIF,e,11294412,38.199602,-3.55756,222.2061094,162.2399966,670,78.21478017,217.4059245,179.4560547,556.6852214,96.96842448,196.3333333,177,568,94,212,153.3333333,742,70.66666667,239.4431051,151.4366023,768.0771077,76.89590963,240.4101245,160,676.6884969,74.7393748,249.3723361,147.0930703,924.5107625,80.16261546,250.4101245,150,935.800883,79.68798065
1557,3724,NA,GBIF,e,10817835,37.472585,0.257978,194.9594434,160.6799984,1145.333333,96.87151591,181.1624349,248.4980469,925.4690755,123.1526693,156,195.3333333,960.6666667,99.33333333,178,184.3333333,1207.333333,92.66666667,214.5499357,135.5796846,924.1382446,67.73430379,216.7806562,138.2851855,874.7931722,70.91379801,225.9690094,115.9963417,1247.450602,76.93536123,228.4173965,114.6615028,1334.81661,79.45435333
1558,3727,Western Cape,GBIF,e,15013186,18.7657,-33.4939,176.2150002,233.7520027,551.2,64.62753906,158.4119141,216.0460938,539.8130859,58.3703125,134.8,246,679.4,64.6,162,228,647.8,68.4,181.5845222,248.6143684,658.2622681,69.32233582,183.7894592,245.7481308,640.3928345,68.99541779,192.8193932,252.6710167,621.1976807,63.54276657,198.0143127,258.5534134,614.9785522,64.15896759
1559,3728,Mpumalanga,GBIF,e,13961961,31.909962,-25.022268,218.6870861,231.500001,620,76.34949303,214.1916504,222.0871582,521.0158691,71.17358398,187,222.5,671.75,63,212,237,617.75,59.5,249.7412062,180,542.8702698,76.73704529,249.72363,180,575.4941101,81.00351524,258.2379389,190.7296419,660.6542358,91.50899315,261.6114473,184.3913126,589.5821533,86.29988861
1560,3731,Arusha,GBIF,e,11081961,35.2467,-1.83516,183.2279158,151.1499977,941,56.56762218,172.6584473,213.7041016,560.9521484,87.3125,149.75,165.5,677.5,62,170.5,148,918.5,49.5,209.5999861,133.801446,981.1466217,61.57223606,210.477581,138.5219479,979.3348846,62.95512962,215.2612877,130,1273.175995,68.39968681,216.8664408,130,1309.519165,66.14389038
1561,3732,Central,GBIF,e,13397180,25.1848,-20.4968,242.9283285,276.9600058,351.25,105.4004364,211,248.9213867,313.0825195,141.777832,178,257.75,397,90.75,212,286.75,349.5,89,255.0712395,198.4401226,435.3139648,116.7479763,257.4656153,195.3468418,421.5466766,114.4477978,260,192.2423744,485.2514267,117.6958752,270,187.6578569,479.9868927,112.5714283
1562,3733,Morogoro,GBIF,e,11745049,37.2215,-7.20069,242.201252,153.5399985,1162.5,85.88646889,234.8227539,148.0327148,848.8071289,79.75219727,212,147.5,731.5,82,226.25,158.25,1052.5,77,259.8278952,150,859.4025116,80.71409607,259.8348951,150,808.9346771,77,265.8751488,156.343565,987.0693512,79.98840904,267.0533657,159.9775434,1017.501999,80.8689003
