,prog,locality,source,cluster,dup,X1,Y1,bio1_current,bio7_current,bio12_current,bio15_current,bio1_LIG,bio7_LIG,bio12_LIG,bio15_LIG,bio1_LGM,bio7_LGM,bio12_LGM,bio15_LGM,bio1_MH,bio7_MH,bio12_MH,bio15_MH,bio1_gfdlesm4_370,bio7_gfdlesm4_370,bio12_gfdlesm4_370,bio15_gfdlesm4_370,bio1_gfdlesm4_585,bio7_gfdlesm4_585,bio12_gfdlesm4_585,bio15_gfdlesm4_585,bio1_ukesm1_370,bio7_ukesm1_370,bio12_ukesm1_370,bio15_ukesm1_370,bio1_ukesm1_585,bio7_ukesm1_585,bio12_ukesm1_585,bio15_ukesm1_585
87,88,NA,Tracking,w,8812093,-7.59148285,16.38359969,301.7487478,286.4499998,223.5,136.3953323,269.2321777,330.2856445,314.9182129,132.3764648,254.5,257.75,148.25,142.25,280,258.75,419.5,139,330,280,261.806694,152,330,270,281.7330399,155.8654671,340,280,227.5386734,147.2709656,342.504797,270,207.0495644,140
88,89,NA,Tracking,w,9009007,-4.540365425,14.83081972,280.4699993,281.699996,353.5,140.7232819,235.9626465,323.8879395,656.5544434,119.2612305,232.25,274.5,233.25,139.75,247,268,664.75,137,320,253.7334299,475.8581314,149.3635292,320,249.8310471,463.4785004,145.3281937,340,250,453.5284042,137.1715546,340,250,430.2256622,133.7643127
89,90,NA,Tracking,w,8946761,-8.105579884,15.30811597,285.1579142,275.1599884,348.75,140.3007088,250.3981934,347.8886719,408.2590332,114.2114258,236.25,279,270.25,151.5,258,275.75,558.75,139,312.4688148,270,434.9391327,149.6322479,320,260,449.7553329,151.4610901,330,260,417.6592102,147.5268478,330,260,355.0800018,142.044632
90,91,NA,Tracking,w,8874475,1.625975582,15.91114591,299.6983385,270.5800056,196.75,151.9722633,250.1411133,322.2775879,715.7080078,132.6821289,250.5,270.25,72.75,127.75,272.5,254.25,437.75,153.25,330,270,247.313427,175.0997429,330,268.9228678,312.8430862,197.8898659,340,270,303.1090927,168.5148354,342.2929382,270,290.3147354,161.2299614
91,92,NA,Tracking,w,9335576,5.025337434,12.17197968,280.9341621,239.0499687,780.5,117.7190037,246.5285645,302.4521484,1247.380127,114.4824219,246,258.75,601,117.5,259,249.5,1233,123.75,309.9878073,223.8488674,757.2977295,132.345562,309.9975634,220.0866318,766.0687103,128.8745804,310,240,910.4858704,134.0317917,319.7180033,239.6709299,939.0692444,131.0676842
92,93,NA,Tracking,w,9019433,-1.785643143,14.72314097,292.6912546,263.2400036,376.25,138.5558662,254.2148438,305.6472168,810.1152344,121.7961426,253,259.25,209,135.25,271.5,250.5,723.75,136.75,318.1506014,260,411.6244736,149.2483292,320,260,411.1526489,148.956337,330,260,459.7388992,138.0665283,330,260,445.0888519,136.1652908
93,94,NA,Tracking,w,9097338,6.754588248,14.10731362,279.6966616,243.5866674,341,153.2013499,240.1158854,318.7135417,725.7835286,131.483724,241.6666667,279,157.6666667,148,258.6666667,258.6666667,575.6666667,150,301.4752706,260,402.7292887,159.8953807,303.6825116,260,395.6309408,164.1311951,310,263.1327947,558.9893188,160.8276164,316.0427666,270,550.7640177,155.9678243
94,95,NA,Tracking,w,9092029,1.381909402,14.13168303,291.592083,247.1400023,367,147.3080406,253.107666,314.6945801,895.1496582,127.4753418,255.75,265.75,192.25,139.75,273,249,657.5,145.25,319.884119,250,382.3876343,159.6954346,319.9490595,250,395.5403595,164.9978333,330,250,467.6945267,157.2304878,332.2963047,257.4478579,445.6620102,150.1509743
95,96,NA,Tracking,w,9252978,16.76019431,12.83369452,289.9412537,266.0300064,394.75,148.1215401,256.861084,319.8044434,694.1105957,120.5744629,263.25,300,177.25,133,272.25,284.5,700.5,150.5,310,250,454.7781982,153.9726601,310,250,432.7597504,147.9302826,320,250,674.2948914,160.9192314,320,260,663.5749207,160.2193947
96,97,NA,Tracking,w,9019628,6.339766754,14.71798177,280.0404167,249.5599937,325.5,151.9174538,240.9396973,319.142334,710.0292969,132.5466309,243.25,275.25,126.75,145,260.25,256,557.5,149.25,300,270,374.193634,163.6477165,300,270,374.035965,171.0913506,310,270.4109716,515.9502411,166.0257835,318.262949,270.4109716,509.9013901,160.8509674
97,98,NA,Tracking,w,9366640,4.342223118,11.95366081,286.2012482,235.5999994,845.5,110.9817219,246.229248,296.765625,1273.546875,112.3115234,246,249.75,630,114.75,257,241,1233.5,120,307.4671316,210.6891632,862.8353882,127.6620483,307.7080107,210,885.2416992,125.2385292,307.1855593,232.64534,1047.243683,131.4392738,310,230,1073.972443,127.6589222
98,99,NA,Tracking,w,9143855,2.476628748,13.73833778,291.6795826,247.0000029,419.25,140.772831,250.3212891,320.4755859,927.8977051,128.4919434,253,267,231.75,138.75,269.75,257,684.75,141,310,242.0563698,508.0662994,151.5932236,311.5673256,240,504.2480774,153.2584648,320,260,625.5244904,148.4068146,320.299511,260,615.5974731,142.1516342
99,100,NA,Tracking,w,9330390,4.757520707,12.22991525,282.9116631,234.0899897,791.75,113.5037994,246.0773926,301.0993652,1255.624268,113.2844238,245.75,257.25,594.25,116.25,258.5,246.25,1227,122,305.7002592,220,806.753891,132.5104446,307.0862007,220,811.8476105,129.3330803,310,238.4911776,972.4408875,134.1919975,311.953578,234.8368835,1006.23082,131.3768005
100,101,NA,Tracking,w,9294423,16.98714533,12.50459675,289.0008354,265.6799984,466.25,145.8405037,255.0358887,329.0681152,758.5666504,121.5144043,263,303,234.75,133.25,267.25,292.25,781.25,147.5,310,240,493.5455399,150.7786751,310,250,480.0717697,144.6926918,319.9295235,250,711.9359436,154.6818123,320,257.6038074,696.9202423,154.3020782
101,102,NA,Tracking,w,9221603,4.458736735,13.09462512,284.9687481,240.1900005,580.5,126.6719723,249.1865234,305.0866699,1068.16748,121.8786621,249.25,257.75,392,125.75,265.25,245.25,948,130.5,310,240,661.5544586,141.6888084,310,239.8787451,650.0000916,141.8031044,310,250,810.1307678,143.2465134,320,250,837.0711823,138.4757767
102,103,NA,Tracking,w,9315128,16.36856729,12.36326472,290.8675003,267.6400185,455.25,143.0536575,255.8962402,321.4611816,744.6533203,118.7385254,261,295,222.75,131.75,272,278.75,749.5,144,310,250,511.0715103,148.2974625,310,250,494.7435837,142.1726227,311.323905,250,740.4699097,154.4023285,320,260,721.4382019,153.7208023
103,104,NA,Tracking,w,9315151,17.29981539,12.35927781,287.3322233,264.6266619,505.3333333,142.9904277,255.905599,328.3766276,794.6992188,120.6656901,264.3333333,296.6666667,267,133,266,291,829.3333333,144.3333333,310,240,506.1397603,148.0894114,310,249.8858515,498.0929769,142.2925212,313.3251953,250,732.3894043,151.1290029,320,259.6603966,709.458252,150.6248169
104,105,NA,Tracking,w,9408606,26.26651694,11.60630563,270.3624964,257.680006,417.5,131.9725914,237.0297852,335.1916504,681.2902832,110.2536621,242,289.5,327.5,138.75,257,263.5,570.75,128.75,300,219.5117331,415.4681625,121.3076534,300,220,421.5549545,120.4691925,310,220,524.9759216,122.5558929,310,230,528.5807037,125.2496243
105,106,NA,Tracking,w,9393070,26.42508345,11.71925971,272.2870874,257.329998,403,132.8690262,236.3134766,335.3796387,665.6191406,110.2451172,241,290,313.5,140.5,256.25,262.5,561.75,130.5,300,220,412.8827057,122.7237396,300,220,418.2048492,122.1171627,310,220,520.5523682,123.3139534,310,230,523.0946045,125.9622421
106,107,NA,Tracking,w,9263368,18.01561116,12.76024402,292.2611109,256.1066882,502.6666667,143.0612895,257.5872396,322.4541016,724.164388,121.1875,265.6666667,291.3333333,230.6666667,132.3333333,267.3333333,285.3333333,756.3333333,148.6666667,310,240.243028,473.17512,153.4065145,310,250,454.4250997,148.1961466,320,249.243679,744.2259725,161.0338491,320,252.2824478,726.7409871,160.450887
107,108,NA,Tracking,w,9253011,18.14884889,12.85343376,292.3250008,249.8399963,508,142.8644165,256.7242188,323.5291016,717.6480469,121.3222656,264.8,292,224.4,133.2,267.2,285,753.8,150.8,309.4696884,240,467.8888184,155.134549,309.4696884,249.1840172,446.2929871,151.0987335,318.8432655,243.422718,750.6412231,164.0799316,319.3472977,249.8843689,735.0063354,163.995874
108,109,NA,Tracking,w,8983716,20.87339242,15.03896926,287.3849964,265.9300041,180.75,159.1029663,259.4462891,317.7246094,339.8220215,131.6247559,257.5,281,60,142,269.5,251.5,404.25,175,310,260,189.5283012,177.7477112,310,260,212.4153786,181.7377892,319.6140718,250,372.7536697,193.3664093,320,260,365.5442505,193.4400597
109,110,NA,Tracking,w,9169801,4.387800395,13.53575014,286.539588,244.0700054,473.75,137.0107422,250.7663574,307.1728516,962.7854004,127.2744141,252,255.5,295.5,134.25,268,246,803,137,310,240,559.2218323,147.2844353,310,240,538.2963562,148.762085,312.982626,260,660.4728241,145.7975388,320,260,681.9720612,140.1728096
