Time	UpperNe	LowerNe	Ne
30259.96671	147680.012	20699.414	51048.836
30308.85196	148086.981	20778.361	51103.792
30357.7372	148131.313	20806.050	51130.527
30406.62245	148131.313	20820.282	51161.510
30455.50769	148285.695	20820.282	51195.130
30504.39294	148621.243	20890.136	51213.430
30553.27818	148697.347	20890.136	51250.251
30602.16343	148743.083	20890.164	51278.513
30651.04867	148762.605	20912.417	51298.333
30699.93392	149000.841	20940.132	51315.947
30748.81916	149198.398	20981.327	51372.159
30797.70441	149202.741	20989.561	51400.458
30846.58965	149366.246	20999.565	51423.793
30895.4749	149742.250	20999.677	51463.231
30944.36014	149778.680	21039.855	51494.380
30993.24539	149897.365	21074.291	51511.771
31042.13063	150161.188	21080.914	51538.151
31091.01588	150230.477	21126.742	51549.913
31139.90112	150212.884	21145.774	51569.575
31188.78637	150212.884	21184.199	51592.224
31237.67161	150230.477	21184.199	51616.196
31286.55686	150358.364	21192.920	51655.433
31335.4421	150358.364	21233.044	51675.324
31384.32735	150458.192	21256.042	51729.074
31433.21259	150578.904	21262.888	51773.859
31482.09784	150650.509	21312.057	51801.836
31530.98308	150745.031	21376.310	51815.826
31579.86833	150787.396	21388.437	51848.407
31628.75357	150853.264	21396.194	51891.627
31677.63882	150958.505	21420.509	51904.598
31726.52406	150970.849	21444.462	51929.856
31775.40931	151201.199	21474.871	51943.141
31824.29455	151051.857	21492.257	51968.420
31873.1798	150970.849	21508.502	52012.806
31922.06504	151051.857	21515.915	52038.920
31970.95029	151281.429	21539.802	52058.695
32019.83553	151464.823	21555.661	52075.023
32068.72078	152044.793	21559.370	52103.156
32117.60602	152151.654	21562.344	52136.979
32166.49127	152188.141	21562.344	52161.346
32215.37651	152331.368	21605.123	52192.411
32264.26176	152554.539	21613.632	52218.458
32313.147	152600.151	21636.993	52218.663
32362.03225	152767.475	21663.825	52241.517
32410.91749	152954.755	21687.390	52293.488
