"","X","Y","bio1","bio12","bio15","bio7"
"114",57.4791666666665,74.3541666666667,-112.603330612183,352,27.3061904907227,273.880004882812
"115",32.9374999999999,16.7708333333334,290.508327484131,73,160.566787719727,284.63996887207
"116",-40.4375,-12.9375,230.756664276123,731,58.631893157959,131.760005950928
"117",46.6041666666665,-16.0208333333333,270.696659088135,1533,119.800003051758,182.959995269775
"118",38.1874999999999,67.2291666666667,-14.5500004291534,487,33.5493583679199,322.639999389648
"119",104.854166666666,26.8958333333334,113.931665420532,1039,79.5827865600586,253.479995727539
"120",-3.81250000000006,20.6041666666667,287.075004577637,26,105.023651123047,337.120018005371
"121",19.3124999999999,27.5625,210.161666870117,7,32.5218086242676,292.880001068115
"122",84.2708333333331,23.6458333333334,239.41333770752,1251,124.425743103027,288.240013122559
"123",104.104166666666,27.8958333333334,100.535001754761,907,78.5405807495117,266.959991455078
"124",137.229166666666,71.3541666666667,-145.221672058105,211,65.2818222045898,503.320007324219
"125",51.0208333333332,23.1875,279.478340148926,65,106.83275604248,296.959991455078
"126",112.229166666666,38.1875,51.3450002670288,467,111.687210083008,413.959999084473
"127",14.4791666666666,21.6875,256.599998474121,31,78.4454879760742,344.000015258789
"128",-8.14583333333339,10.0208333333334,258.581657409668,1408,99.5647583007812,228.640003204346
"129",112.729166666666,33.7291666666667,149.44167137146,746,71.1867828369141,342.880020141602
"130",27.6874999999999,29.4375,223.110008239746,36,85.2802886962891,291.959991455078
"131",123.395833333333,44.4375,63.5166645050049,452,118.941665649414,500.480003356934
"132",20.2708333333332,-13.8958333333333,193.82999420166,1021,104.203666687012,229.680004119873
"133",41.5624999999999,59.4791666666667,27.1950006484985,609,30.3765182495117,379.519996643066
"134",38.1458333333332,2.89583333333337,262.768325805664,279,108.337089538574,145.160007476807
"135",21.6041666666666,2.02083333333337,250.659999847412,1761,35.7511940002441,126.520004272461
"136",89.6458333333331,28.3125,-1.15333274006844,256,128.720581054688,327.880020141602
"137",122.520833333333,10.6875,277.8515625,2199,67.9564361572266,107.1875
"138",7.52083333333325,10.2708333333334,250.343341827393,1224,106.88353729248,189.47998046875
"139",24.9791666666666,14.7291666666667,239.4700050354,209,177.607330322266,287.679996490479
"140",67.1458333333332,48.3541666666667,44.171667098999,200,16.7798252105713,488.519973754883
"141",115.020833333333,72.1458333333334,-149.635000228882,196,49.4047393798828,554.200019836426
"142",138.1875,-18.0625,266.208324432373,686,113.478492736816,255.319976806641
"143",7.27083333333325,46.4375,52.7683353424072,1265,12.9433460235596,247.800006866455
"144",16.1874999999999,20.4791666666667,252.83166885376,142,105.113876342773,323.79997253418
"145",104.520833333333,12.6041666666667,274.29666519165,1412,77.205436706543,133.240013122559
"146",133.104166666666,-21.4791666666666,240.37166595459,331,86.142692565918,297.399997711182
"147",25.5208333333332,0.312500000000043,245.288333892822,1752,29.6069374084473,106.159992218018
"148",85.3541666666665,63.3958333333334,-54.4516658782959,573,34.1359367370605,539.560012817383
"149",26.1874999999999,-9.6458333333333,206.241664886475,1185,91.8962554931641,181.520004272461
"150",101.645833333333,55.4791666666667,-12.0483326911926,369,69.2278594970703,502.960014343262
"151",99.8124999999998,20.2708333333334,239.851665496826,1594,89.335319519043,217.880020141602
"152",38.2291666666665,58.6875,36.7166662216187,615,30.1190204620361,354.000015258789
"153",50.3958333333332,45.3541666666667,106.881666183472,129,19.2454051971436,375
"154",-45.2708333333333,71.0625,-203.864994049072,514,29.0343685150146,321.520004272461
"155",3.52083333333326,35.7708333333334,161.455001831055,313,40.9181327819824,321.920013427734
"156",63.2291666666665,54.6458333333334,21.7216682434082,377,49.6972122192383,456.839981079102
"157",95.1874999999998,49.4791666666667,-54.9766683578491,247,90.1113815307617,521.960029602051
"158",-12.8958333333334,14.3541666666667,281.358337402344,768,135.5498046875,227.960014343262
"159",103.104166666666,-1.5208333333333,262.455005645752,2576,31.5576095581055,85.9199905395508
"160",17.8124999999999,6.6041666666667,256.644992828369,1318,88.2474899291992,213.240013122559
"161",21.7708333333332,-27.3541666666666,199.235000610352,275,79.4616775512695,339.640007019043
"162",18.2291666666666,-16.3125,218.891658782959,741,107.697883605957,284.720001220703
"163",21.0624999999999,-28.1875,201.474990844727,220,78.8866958618164,326.720008850098
"164",50.4374999999998,51.0625,61.7049980163574,341,22.1477642059326,462.560043334961
"165",61.1874999999998,34.0625,177.348327636719,213,98.8434143066406,394.000015258789
"166",95.5624999999998,38.7708333333334,-21.8883347511292,131,99.1913986206055,450.960006713867
"167",-5.35416666666673,26.8958333333334,259.670009613037,14,51.4449615478516,393.040008544922
"168",-32.4791666666667,68.7708333333334,-144.551668167114,1008,25.2324829101562,221.319999694824
"169",127.5625,56.6041666666667,-96.3633346557617,610,82.8166809082031,573.680000305176
"170",107.5625,63.1041666666667,-86.3916683197021,334,50.7319183349609,651.439971923828
"171",120.1875,-20.0625,275.793342590332,377,103.543312072754,250.64001083374
"172",38.3124999999999,14.9791666666667,227.046661376953,640,132.936065673828,205.44002532959
"173",40.6874999999999,23.8541666666667,277.129993438721,92,71.1845550537109,335.200004577637
"174",40.6458333333332,56.8958333333334,31.4966678619385,598,32.8625068664551,386.839981079102
"175",9.64583333333325,28.4375,217.775001525879,25,48.8121757507324,364.440002441406
"176",116.9375,-24.1458333333333,246.221675872803,267,69.0885391235352,322.799987792969
"177",94.8541666666665,41.1041666666667,55.3266668319702,68,89.3918838500977,466.279983520508
"178",-11.3125000000001,11.2708333333334,254.090003967285,1384,108.944129943848,225.920028686523
"179",0.854166666666593,29.1458333333334,247.846660614014,20,36.9274482727051,404.039993286133
"180",121.354166666666,56.8958333333334,-70.5700016021729,482,91.9632110595703,583.080024719238
"181",45.0624999999999,-16.6458333333333,259.675006866455,1341,123.268615722656,171.639995574951
"182",105.770833333333,11.8125,275.424995422363,1953,75.8938522338867,133.680000305176
"183",10.8124999999999,-0.187499999999957,258.533325195312,2019,71.5919647216797,109.640007019043
"184",142.979166666666,-19.3541666666666,251.441669464111,699,121.936218261719,255.07999420166
"185",126.354166666666,46.3125,37.5466656684875,501,114.083198547363,521.319999694824
"186",15.4791666666666,-3.93749999999996,237.175006866455,1641,65.4925765991211,140.520009994507
"187",113.479166666666,2.31250000000004,259.309997558594,3773,15.6241331100464,90.0399971008301
"188",134.604166666666,-22.7708333333333,218.061656951904,334,70.8433990478516,321.040000915527
"189",131.395833333333,52.6041666666667,-40.0183343887329,604,88.5777969360352,630.719985961914
"190",96.8541666666665,35.0208333333334,-33.3866667747498,313,97.8092041015625,386.199989318848
"191",32.8958333333332,36.1875,175.588340759277,711,85.4412841796875,276.319999694824
"192",47.2708333333332,29.8958333333334,248.018341064453,110,90.3277206420898,385.559997558594
"193",12.1041666666666,62.7291666666667,-5.90833246707916,837,23.9041786193848,307.560005187988
"194",-10.6458333333334,7.02083333333337,259.926662445068,2992,72.2228622436523,134.320011138916
"195",78.8958333333331,51.9375,29.3016672134399,290,46.3954429626465,471.920013427734
"196",77.1041666666665,49.1875,13.3233332633972,325,40.8673706054688,466.959991455078
"197",28.2708333333332,-13.9791666666666,202.5,1004,116.937629699707,239.280014038086
"198",25.2708333333332,13.9375,254.074993133545,238,169.122482299805,296.000003814697
"199",122.0625,56.9375,-77.0550012588501,508,89.4162521362305,572.680015563965
"200",22.3124999999999,-13.3541666666666,201.086673736572,1068,97.5801467895508,261.119995117188
"201",-5.56250000000006,31.6458333333334,123.821668624878,200,43.1981468200684,339.360008239746
"202",37.8958333333332,13.9791666666667,267.194995880127,631,128.083435058594,227.040004730225
"203",67.6874999999998,24.1875,263.148326873779,215,173.587387084961,240.800018310547
"204",7.14583333333325,23.9375,215.960006713867,43,27.0569972991943,323.400001525879
"205",46.4374999999999,31.3541666666667,240.631656646729,127,93.595588684082,380.200004577637
"206",135.895833333333,70.8125,-143.315000534058,231,63.6295356750488,590.60001373291
"207",117.9375,-25.3958333333333,231.235008239746,239,55.9200325012207,321.119995117188
"208",51.3124999999998,64.8958333333334,-18.7249994277954,585,29.7166862487793,408.759994506836
"209",128.395833333333,35.5625,128.726663589478,1217,81.2987823486328,350.68000793457
"210",26.1458333333332,50.2291666666667,74.8216676712036,627,41.5785217285156,291.759986877441
"211",49.8958333333332,-14.4791666666666,238.33833694458,2359,41.8948860168457,134.84001159668
"212",73.6458333333331,22.8125,270.103340148926,938,152.84716796875,294.720001220703
"213",28.4791666666666,-32.4791666666666,185.301666259766,957,41.5087471008301,160.76000213623
"214",138.5625,-7.47916666666663,274.983329772949,2331,40.8204154968262,107.959976196289
