Time	UpperNe	LowerNe	Ne
4153.00807	386521.907	97903.311	175690.584
4168.446762	386521.907	97919.475	175738.593
4183.885453	386611.264	97943.778	175793.573
4199.324145	386797.930	97885.403	175804.601
4214.762837	386882.211	97857.187	175827.884
4230.201529	386944.750	97857.187	175914.454
4245.64022	386944.750	97691.438	175935.523
4261.078912	387091.401	97720.654	176026.137
4276.517604	387163.231	97714.330	176104.631
4291.956295	387163.231	97714.330	176192.385
4307.394987	387163.231	97715.286	176238.733
4322.833679	387572.685	97683.251	176293.570
4338.272371	387602.668	97684.576	176375.655
4353.711062	387940.014	97714.330	176458.276
4369.149754	388418.639	97683.251	176498.362
4384.588446	388917.534	97572.483	176516.741
4400.027137	389491.592	97510.571	176552.665
4415.465829	389503.489	97566.694	176571.127
4430.904521	389961.818	97441.411	176590.105
4446.343212	389715.663	97390.290	176638.091
4461.781904	389961.818	97374.481	176655.494
4477.220596	390217.652	97352.764	176669.240
4492.659288	390217.652	97352.177	176703.859
4508.097979	390827.271	97352.764	176730.064
4523.536671	390960.820	97352.177	176802.134
4538.975363	391200.052	97257.314	176865.656
4554.414054	391259.000	97136.259	176907.631
4569.852746	391325.551	97101.572	176949.344
4585.291438	392249.493	97109.659	177009.512
4600.73013	392497.681	97169.603	177038.025
4616.168821	392645.031	97109.659	177069.800
4631.607513	392906.548	97071.132	177063.851
4647.046205	393506.323	97063.970	177097.795
4662.484896	393691.478	97071.132	177123.547
4677.923588	393691.478	97071.132	177145.831
4693.36228	393875.618	97063.970	177155.660
4708.800972	394088.621	97017.461	177155.660
4724.239663	394253.588	96967.356	177169.296
4739.678355	394253.588	96910.501	177200.495
4755.117047	395041.382	96847.197	177212.931
4770.555738	395163.412	96756.764	177224.027
4785.99443	395163.412	96711.217	177265.067
4801.433122	394983.970	96711.217	177327.338
4816.871814	394983.970	96635.425	177351.107
4832.310505	394983.970	96644.568	177361.366
4847.749197	396036.851	96614.973	177363.322
4863.187889	396038.270	96574.267	177371.419
4878.62658	396036.851	96495.584	177420.009
4894.065272	396038.270	96444.016	177417.108
4909.503964	396061.926	96444.016	177440.384
4924.942655	396061.926	96306.714	177440.384
